A,B,Weight,5,10,15,Date
1534063990,829200824,3640,12,10,7,2016-12-13
1343237680,2098451489,30,1,1,1,2016-12-13
401107636,463397903,218,4,4,4,2016-12-13
828589940,1465819709,13,1,1,0,2016-12-13
553349318,1697801431,1050,12,12,12,2016-12-13
1445225314,637435742,13,1,1,0,2016-12-13
1239571429,496615740,8000,121,100,90,2016-12-13
2036048124,2042092649,58809,64,64,62,2016-12-13
722225259,1494434346,18,2,1,0,2016-12-13
829200824,828534847,15,1,1,0,2016-12-13
828589940,1445225314,38292,414,372,330,2016-12-13
333175041,1838426739,674,12,12,11,2016-12-13
1494434346,345466931,106,3,3,3,2016-12-13
1972115615,345466931,242,8,7,7,2016-12-13
7957504,717844050,5965,4,4,4,2016-12-13
637435742,89206427,804,8,8,8,2016-12-13
1270289144,553349318,31,1,1,1,2016-12-13
828589940,1441110689,14,1,1,0,2016-12-13
1730609357,342847286,9092,2,2,2,2016-12-13
7957504,1270289144,258,3,3,2,2016-12-13
1091682207,649072229,58,2,2,2,2016-12-13
1270289144,1091682207,108,4,2,2,2016-12-13
508414954,1697801431,75,3,3,3,2016-12-13
1465819709,1270289144,21,1,1,1,2016-12-13
342847286,646922510,2733,33,32,28,2016-12-13
1270878398,333175041,2171,34,31,29,2016-12-13
2036048124,265442043,13,1,1,0,2016-12-13
646922510,1534063990,2,0,0,0,2016-12-13
978193060,1519644322,86,4,4,2,2016-12-13
1838426739,1465819709,30,2,1,1,2016-12-13
553349318,2036048124,1247,24,21,20,2016-12-13
1494434346,463397903,102,2,2,2,2016-12-13
1898642600,1494434346,49,3,2,1,2016-12-13
554892047,1519644322,86,1,1,1,2016-12-13
98735408,1270289144,12584,2,2,2,2016-12-13
553349318,1260588087,1008,13,13,12,2016-12-13
1665081654,333175041,514,15,11,10,2016-12-13
978193060,717844050,881,13,11,8,2016-12-13
554892047,1744054166,52,1,1,1,2016-12-13
722225259,717844050,590,19,18,12,2016-12-13
1519644322,1932226176,50,2,2,2,2016-12-13
1270289144,624770874,395,1,1,1,2016-12-13
717844050,1375110634,17,1,1,1,2016-12-13
1494434346,1343237680,144,2,2,2,2016-12-13
1270289144,828589940,17257,22,18,18,2016-12-13
508414954,1730609357,30,2,1,1,2016-12-13
1506301109,1519644322,213,12,9,9,2016-12-13
508414954,243719136,36,1,1,1,2016-12-13
553349318,333175041,951,11,11,10,2016-12-13
342847286,1343237680,3,0,0,0,2016-12-13
2104873054,1623750070,883,30,25,20,2016-12-13
637435742,1744054166,1103,8,7,4,2016-12-13
1091682207,717844050,990,19,17,15,2016-12-13
7957504,553349318,77,1,1,1,2016-12-13
637435742,717844050,24527,4,3,2,2016-12-13
828589940,1665081654,223,1,1,1,2016-12-13
553349318,1730609357,675,12,10,9,2016-12-13
1270878398,1519644322,1089,30,21,19,2016-12-13
717844050,778544259,11752,2,1,1,2016-12-13
1270289144,2036048124,14,1,1,0,2016-12-13
333175041,1506301109,2886,2,2,2,2016-12-13
646922510,1091682207,10903,297,254,210,2016-12-13
508414954,1243785496,5971,6,6,6,2016-12-13
1764017416,1494434346,2258,25,22,16,2016-12-13
7957504,89206427,82,3,2,2,2016-12-13
1838426739,1534063990,53,3,2,1,2016-12-13
637435742,1534063990,18,1,1,1,2016-12-13
1445225314,508414954,2137,9,8,7,2016-12-13
429792557,1519644322,73,3,3,3,2016-12-13
7957504,1870172004,51,1,1,1,2016-12-13
554892047,2104873054,196,2,2,1,2016-12-13
717844050,2036048124,28,1,1,1,2016-12-13
1343237680,1091682207,127,3,3,3,2016-12-13
554892047,401107636,138,3,2,2,2016-12-13
553349318,345466931,874,9,9,9,2016-12-13
2036048124,805113191,53284,226,216,201,2016-12-13
1243785496,1744054166,30,1,1,1,2016-12-13
2104873054,553349318,1531,18,18,17,2016-12-13
828589940,1558837466,94,3,3,3,2016-12-13
508414954,429792557,19,1,1,1,2016-12-13
508414954,778544259,38,1,1,1,2016-12-13
1768805330,2104873054,30,1,1,1,2016-12-13
778544259,829200824,22865,623,519,428,2016-12-13
1725635615,829200824,1752,36,30,26,2016-12-13
1270289144,89206427,12,1,1,0,2016-12-13
98735408,828589940,1142,1,1,1,2016-12-13
7957504,1519644322,3,0,0,0,2016-12-13
1270289144,1430506477,6518,4,3,2,2016-12-13
342847286,1494434346,53709,128,121,118,2016-12-13
508414954,2044461369,6,1,0,0,2016-12-13
345466931,1519644322,430,11,10,8,2016-12-13
98735408,717844050,11459,8,7,5,2016-12-13
1665081654,1697801431,4785,14,10,10,2016-12-13
508414954,1313750791,71,3,3,2,2016-12-13
1972115615,1534063990,841,10,9,9,2016-12-13
1111499302,646922510,2863,26,22,21,2016-12-13
828589940,1623750070,11,1,0,0,2016-12-13
554892047,1764017416,23,1,1,1,2016-12-13
829200824,553349318,4520,73,61,57,2016-12-13
1270289144,805113191,1,0,0,0,2016-12-13
1343237680,717844050,479,7,5,5,2016-12-13
637435742,1111499302,388,11,11,9,2016-12-13
637435742,2042092649,464,7,6,6,2016-12-13
829200824,717844050,11,1,1,0,2016-12-13
1494434346,978193060,32,2,1,1,2016-12-13
1838426739,828534847,3914,1,1,1,2016-12-13
1851286936,1519644322,941,26,21,18,2016-12-13
1623750070,778544259,21440,470,414,370,2016-12-13
828589940,1316102244,7,1,0,0,2016-12-13
637435742,1623750070,119,4,3,2,2016-12-13
553349318,496615740,671,12,12,12,2016-12-13
508414954,1441110689,482,3,3,2,2016-12-13
98735408,508414954,12601,7,7,6,2016-12-13
7957504,624770874,44,3,2,2,2016-12-13
2042092649,553349318,2688,36,32,29,2016-12-13
1091682207,992606538,1085,10,10,10,2016-12-13
508414954,805113191,408,2,2,1,2016-12-13
637435742,1465819709,7,1,0,0,2016-12-13
7957504,752727656,187,3,3,3,2016-12-13
508414954,1665081654,27,2,1,1,2016-12-13
1243785496,7957504,44363,3,3,3,2016-12-13
1519644322,553349318,962,27,23,20,2016-12-13
1972115615,1343237680,293,8,6,5,2016-12-13
717844050,429792557,7,1,0,0,2016-12-13
805113191,829200824,1675,29,27,25,2016-12-13
7957504,342847286,10,1,0,0,2016-12-13
1873234880,463397903,139,4,3,3,2016-12-13
1445225314,1243785496,8752,319,272,225,2016-12-13
1534063990,1375110634,23,1,1,1,2016-12-13
717844050,1697801431,32,1,1,1,2016-12-13
7957504,1852043824,91,3,2,2,2016-12-13
829200824,313450190,123,3,2,1,2016-12-13
637435742,1494434346,2150,10,10,9,2016-12-13
7957504,195941619,38,2,2,1,2016-12-13
313450190,1343237680,194,2,2,2,2016-12-13
554892047,1212892288,164,4,4,4,2016-12-13
7957504,1260588087,77,1,1,1,2016-12-13
408433646,1519644322,88,5,2,2,2016-12-13
508414954,1623750070,143,2,2,2,2016-12-13
1243785496,2104873054,46,1,1,1,2016-12-13
1534063990,1506301109,2354,2,1,1,2016-12-13
1764017416,1091682207,707,9,9,8,2016-12-13
2036048124,1768805330,122,5,5,4,2016-12-13
1838426739,1375110634,1,0,0,0,2016-12-13
553349318,1558837466,498,10,9,8,2016-12-13
1852043824,1519644322,60,2,2,2,2016-12-13
554892047,1260588087,125,2,2,1,2016-12-13
646922510,1430506477,285,9,7,7,2016-12-13
1623750070,1506301109,25,1,1,1,2016-12-13
722225259,508414954,345,11,10,7,2016-12-13
805113191,717844050,12313,1,1,1,2016-12-13
553349318,1697503993,1178,14,12,12,2016-12-13
637435742,2036048124,1189,1,1,1,2016-12-13
637435742,1506301109,17,1,1,1,2016-12-13
554892047,508414954,9326,6,6,6,2016-12-13
637435742,1725635615,139,1,1,1,2016-12-13
828589940,333175041,54,2,2,2,2016-12-13
1851286936,553349318,748,14,12,11,2016-12-13
554892047,992606538,5552,2,2,2,2016-12-13
313450190,1534063990,36,2,1,1,2016-12-13
1243785496,1534063990,117,1,1,1,2016-12-13
829200824,1494434346,18,1,1,1,2016-12-13
1430506477,508414954,948,6,4,4,2016-12-13
1445225314,1270289144,10491,16,13,11,2016-12-13
828589940,1873234880,74,1,1,1,2016-12-13
637435742,992606538,64,3,3,3,2016-12-13
637435742,1665081654,227,5,5,5,2016-12-13
1212892288,1838426739,194,2,2,2,2016-12-13
722225259,195941619,9,1,0,0,2016-12-13
1558837466,978193060,3,0,0,0,2016-12-13
717844050,1270878398,4,0,0,0,2016-12-13
1519644322,1725635615,1059,28,26,22,2016-12-13
717844050,752727656,54,2,2,1,2016-12-13
554892047,2044461369,7,1,0,0,2016-12-13
98735408,313450190,1278,1,1,1,2016-12-13
554892047,805113191,195,2,2,2,2016-12-13
508414954,1270878398,140,2,2,2,2016-12-13
1665081654,1623750070,101,3,3,3,2016-12-13
1972115615,1091682207,56783,112,107,105,2016-12-13
1111499302,1494434346,24454,649,543,445,2016-12-13
829200824,1506301109,251,1,1,1,2016-12-13
978193060,1091682207,1,0,0,0,2016-12-13
778544259,2104873054,5,0,0,0,2016-12-13
554892047,1494434346,37,1,1,1,2016-12-13
828589940,1932226176,34,1,1,1,2016-12-13
1851286936,717844050,17,1,1,1,2016-12-13
553349318,992606538,8,1,0,0,2016-12-13
7957504,805113191,43,2,2,1,2016-12-13
829200824,1851286936,199,9,5,4,2016-12-13
646922510,717844050,13,1,0,0,2016-12-13
98735408,1873234880,19,1,1,1,2016-12-13
2104873054,1725635615,4193,1,1,1,2016-12-13
553349318,2056522415,155,3,3,3,2016-12-13
1768805330,717844050,23,1,1,1,2016-12-13
828589940,1730609357,8,1,0,0,2016-12-13
342847286,829200824,175,4,4,3,2016-12-13
1270289144,1972115615,43,3,2,1,2016-12-13
554892047,1270878398,2,0,0,0,2016-12-13
7957504,1270878398,54,3,3,1,2016-12-13
717844050,828589940,29244,9,7,7,2016-12-13
1111499302,1972115615,919,30,25,23,2016-12-13
195941619,463397903,255,4,4,4,2016-12-13
553349318,649072229,457,7,6,6,2016-12-13
1243785496,333175041,5,0,0,0,2016-12-13
1445225314,1519644322,14,1,0,0,2016-12-13
1343237680,463397903,121,5,2,2,2016-12-13
553349318,1623750070,2306,16,14,14,2016-12-13
508414954,408433646,50,2,2,2,2016-12-13
2098451489,717844050,246,9,6,5,2016-12-13
553349318,1111499302,633,10,9,9,2016-12-13
1534063990,992606538,190,6,5,4,2016-12-13
554892047,1430506477,5755,2,2,2,2016-12-13
243719136,1519644322,14,1,0,0,2016-12-13
553349318,1441110689,1104,13,13,13,2016-12-13
508414954,1725635615,65,3,3,2,2016-12-13
829200824,2036048124,727,23,17,15,2016-12-13
7957504,1212892288,143,2,2,2,2016-12-13
98735408,7957504,28787,3,3,3,2016-12-13
1558837466,752727656,4661,1,1,1,2016-12-13
508414954,1343237680,181,2,2,1,2016-12-13
7957504,671574015,15,1,1,0,2016-12-13
1768805330,805113191,25,2,1,0,2016-12-13
1558837466,2098451489,81,4,4,3,2016-12-13
615535993,1620846910,40577,32,31,29,2016-12-13
624770874,345466931,2728,20,18,17,2016-12-13
671574015,463397903,199,9,7,7,2016-12-13
553349318,805113191,24994,702,605,531,2016-12-13
1239571429,2098451489,5,0,0,0,2016-12-13
508414954,195941619,146,5,5,4,2016-12-13
98735408,2044461369,26,1,1,1,2016-12-13
508414954,1239571429,154,5,5,4,2016-12-13
2072496780,1744054166,41,2,2,2,2016-12-13
1430506477,345466931,469,15,13,11,2016-12-13
717844050,1441110689,32,1,1,1,2016-12-13
637435742,496615740,21,1,1,1,2016-12-13
1898642600,463397903,80,3,3,2,2016-12-13
2042092649,2104873054,47,2,2,2,2016-12-13
553349318,98735408,37,1,1,1,2016-12-13
553349318,1494434346,817,11,11,11,2016-12-13
554892047,828589940,49667,5,5,5,2016-12-13
1270289144,1889314729,2657,1,1,1,2016-12-13
1375110634,1519644322,80,4,3,2,2016-12-13
554892047,1898642600,5610,3,3,3,2016-12-13
828589940,89206427,115,1,1,1,2016-12-13
1623750070,1838426739,107,5,5,3,2016-12-13
333175041,2042092649,31365,318,289,251,2016-12-13
2098451489,1494434346,2,0,0,0,2016-12-13
7957504,313450190,675,2,2,2,2016-12-13
1270289144,1519644322,29,1,1,1,2016-12-13
1873234880,717844050,312,8,5,5,2016-12-13
1519644322,265442043,451,8,7,6,2016-12-13
637435742,408433646,1631,14,13,12,2016-12-13
508414954,313450190,1198,4,4,4,2016-12-13
7957504,496615740,4,0,0,0,2016-12-13
1243785496,722225259,35,1,1,1,2016-12-13
554892047,1091682207,98,1,1,1,2016-12-13
265442043,2042092649,38,3,1,1,2016-12-13
1239571429,717844050,622,15,15,14,2016-12-13
1558837466,717844050,502,11,10,9,2016-12-13
98735408,1212892288,5,0,0,0,2016-12-13
1665081654,2036048124,2719,29,28,24,2016-12-13
1494434346,313450190,313,11,9,9,2016-12-13
717844050,1932226176,86,1,1,1,2016-12-13
1764017416,1972115615,454,17,14,12,2016-12-13
508414954,89206427,139,2,2,2,2016-12-13
722225259,463397903,112,4,3,2,2016-12-13
195941619,496615740,3,0,0,0,2016-12-13
637435742,671574015,386,10,10,7,2016-12-13
553349318,1898642600,22,1,1,1,2016-12-13
553349318,1852043824,780,10,10,9,2016-12-13
637435742,1873234880,305,2,2,1,2016-12-13
554892047,649072229,62,1,1,1,2016-12-13
717844050,508414954,6965,24,18,16,2016-12-13
98735408,1243785496,37211,2,2,2,2016-12-13
1534063990,508414954,12,1,1,0,2016-12-13
554892047,1851286936,7,1,0,0,2016-12-13
7957504,1764017416,24,1,1,1,2016-12-13
1243785496,1558837466,87,1,1,1,2016-12-13
1270289144,313450190,6633,1,1,1,2016-12-13
829200824,1430506477,553,5,4,4,2016-12-13
553349318,1744054166,787,12,11,11,2016-12-13
553349318,1932226176,707,10,10,8,2016-12-13
1838426739,2042092649,803,10,10,10,2016-12-13
1465819709,1744054166,1799,74,59,51,2016-12-13
508414954,1851286936,39,2,1,1,2016-12-13
554892047,722225259,24,1,1,1,2016-12-13
1725635615,778544259,57105,161,158,151,2016-12-13
553349318,1764017416,532,11,11,11,2016-12-13
992606538,463397903,7,1,0,0,2016-12-13
1519644322,1665081654,736,20,17,17,2016-12-13
333175041,1623750070,236,10,8,6,2016-12-13
98735408,637435742,5552,8,8,8,2016-12-13
1558837466,463397903,263,6,5,5,2016-12-13
828589940,1764017416,69,1,1,1,2016-12-13
1764017416,1898642600,56743,127,126,120,2016-12-13
828589940,1534063990,12,1,1,0,2016-12-13
1898642600,717844050,6431,38,29,24,2016-12-13
553349318,1972115615,434,9,9,9,2016-12-13
553349318,243719136,1304,11,11,10,2016-12-13
554892047,1838426739,59,2,2,1,2016-12-13
1243785496,1441110689,71,1,1,1,2016-12-13
829200824,1665081654,2,0,0,0,2016-12-13
978193060,463397903,14,0,0,0,2016-12-13
637435742,313450190,10,1,0,0,2016-12-13
1270289144,1764017416,12,1,0,0,2016-12-13
7957504,1620846910,128,3,3,2,2016-12-13
554892047,1445225314,5724,1,1,1,2016-12-13
1270289144,1932226176,25,1,1,1,2016-12-13
1343237680,649072229,84,5,4,4,2016-12-13
717844050,1870172004,20,1,1,1,2016-12-13
1972115615,1494434346,90,4,4,4,2016-12-13
1243785496,1270289144,17875,7,5,5,2016-12-13
554892047,1343237680,31,1,1,1,2016-12-13
722225259,496615740,6203,95,87,73,2016-12-13
1243785496,1898642600,126,1,1,1,2016-12-13
1697503993,717844050,14528,2,2,2,2016-12-13
1764017416,195941619,1,0,0,0,2016-12-13
553349318,429792557,947,18,17,15,2016-12-13
717844050,624770874,30,1,1,1,2016-12-13
2104873054,345466931,52,2,2,1,2016-12-13
1243785496,829200824,4,0,0,0,2016-12-13
89206427,1623750070,1960,20,19,16,2016-12-13
1111499302,717844050,158,11,4,3,2016-12-13
98735408,1972115615,2,0,0,0,2016-12-13
342847286,717844050,372,12,10,8,2016-12-13
195941619,717844050,485,9,9,7,2016-12-13
1730609357,717844050,2,0,0,0,2016-12-13
408433646,1506301109,575,18,16,12,2016-12-13
1972115615,463397903,154,3,3,2,2016-12-13
1270289144,333175041,17,1,1,1,2016-12-13
195941619,1430506477,1762,10,10,10,2016-12-13
